Title,Release Date,Rating,Times Listed,Number of Reviews,Genres,Plays,Wishlist
Final Fantasy VI,"Apr 02, 1994",4.4,1600,1600,"['Adventure', 'RPG']",6100,1300
Resident Evil 3,"Apr 03, 2020",3.2,1300,1300,"['Adventure', 'Shooter']",8400,1600
Mario Kart Wii,"Apr 10, 2008",3.9,100,100,['Racing'],1900,168
Final Fantasy VII Remake,"Apr 10, 2020",4.1,200,200,"['Adventure', 'RPG']",1200,2200
Portal 2,"Apr 18, 2011",4.4,2900,2900,"['Adventure', 'Platform', 'Puzzle', 'Shooter']",2900,1200
Katana Zero,"Apr 18, 2019",4.1,1100,1100,"['Adventure', 'Arcade', 'Indie', 'Platform', 'Strategy']",9300,1500
Psychonauts,"Apr 19, 2005",4,1200,1200,"['Adventure', 'Platform']",7100,1200
Persona 3 FES,"Apr 19, 2007",4.1,1400,1400,"['RPG', 'Simulator', 'Visual Novel']",8400,1500
Fire Emblem: Awakening,"Apr 19, 2012",3.8,1200,1200,"['Adventure', 'RPG', 'Strategy']",9500,814
Mother 3,"Apr 20, 2006",4.5,1600,1600,"['RPG', 'Turn Based Strategy']",5700,1900
God of War,"Apr 20, 2018",4.2,2900,2900,"['Adventure', 'Brawler', 'RPG']",2100,2600
NieR Replicant ver.1.22474487139...,"Apr 22, 2021",4.2,1500,1500,"['Adventure', 'RPG']",6700,3700
The Walking Dead: Season One,"Apr 24, 2012",4,1200,1200,"['Adventure', 'Point-and-Click']",1200,467
What Remains of Edith Finch,"Apr 24, 2017",4,1400,1400,"['Adventure', 'Indie', 'Puzzle']",8600,1300
The Legend of Zelda: Majora's Mask,"Apr 27, 2000",4.4,2200,2200,['Adventure'],1300,1800
Mario Kart 8 Deluxe,"Apr 28, 2017",4,1500,1500,"['Arcade', 'Racing']",1900,635
Grand Theft Auto IV,"Apr 29, 2008",3.8,1100,1100,"['Adventure', 'Racing', 'Shooter']",1400,721
Super Mario World 2: Yoshi's Island,"Aug 05, 1995",4.1,1100,1100,['Platform'],7100,360
Sonic Mania,"Aug 15, 2017",4,1300,1300,"['Adventure', 'Platform']",1200,786
BioShock,"Aug 21, 2007",4,1800,1800,"['Adventure', 'RPG', 'Shooter']",1700,1200
Devil May Cry,"Aug 23, 2001",3.5,1200,1200,['Brawler'],1000,1100
Psychonauts 2,"Aug 24, 2021",4.2,1200,1200,"['Adventure', 'Platform']",4300,2300
Batman: Arkham Asylum,"Aug 25, 2009",3.9,1400,1400,"['Adventure', 'Brawler']",1700,672
EarthBound,"Aug 27, 1994",4.2,1900,1900,"['Adventure', 'RPG', 'Turn Based Strategy']",900,1800
Control,"Aug 27, 2019",3.6,1300,1300,"['Adventure', 'Shooter']",9600,1300
Xenoblade Chronicles 2,"Dec 01, 2017",3.9,1400,1400,"['Adventure', 'RPG']",7400,1500
No More Heroes,"Dec 06, 2007",4,1200,1200,"['Adventure', 'Brawler']",5600,1800
Super Smash Bros. Ultimate,"Dec 07, 2018",4.1,2500,2500,"['Fighting', 'Platform']",2500,801
Cyberpunk 2077,"Dec 09, 2020",3.3,1500,1500,"['Adventure', 'RPG', 'Shooter']",1300,2900
Doom,"Dec 10, 1993",4,1400,1400,['Shooter'],1100,514
Hades,"Dec 10, 2019",4.3,2900,2900,"['Adventure', 'Brawler', 'Indie', 'RPG']",2100,3600
Mega Man X,"Dec 17, 1993",4.1,1200,1200,"['Adventure', 'Platform', 'Shooter']",6900,385
Kingdom Hearts II,"Dec 22, 2005",4.3,1200,1200,"['Adventure', 'RPG']",9600,652
Omori,"Dec 25, 2020",4.2,1600,1600,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']",7200,3800
Demon's Souls,"Feb 05, 2009",4.1,1200,1200,"['Adventure', 'RPG']",5500,1200
Shadow of the Colossus,"Feb 06, 2018",4.1,1100,1100,"['Adventure', 'Platform', 'Puzzle']",7800,1600
Metroid: Zero Mission,"Feb 09, 2004",4,1200,1200,"['Adventure', 'Platform', 'Shooter']",7500,700
Metal Gear Rising: Revengeance,"Feb 19, 2013",4.1,2100,2100,"['Adventure', 'Brawler', 'Shooter', 'Strategy']",1400,200
Shin Megami Tensei: Nocturne,"Feb 20, 2003",4.2,1100,1100,['RPG'],4100,1300
The Legend of Zelda,"Feb 21, 1986",3.2,1200,1200,['Adventure'],9300,463
Night in the Woods,"Feb 21, 2017",4,1100,1100,"['Adventure', 'Indie', 'Platform']",600,1500
Silent Hill,"Feb 23, 1999",4.1,1300,1300,"['Adventure', 'Puzzle']",6800,1600
NieR: Automata,"Feb 23, 2017",4.3,2900,2900,"['Brawler', 'RPG']",1800,3600
Hollow Knight,"Feb 24, 2017",4.4,300,300,"['Adventure', 'Indie', 'Platform']",2100,2300
Elden Ring,"Feb 25, 2022",4.5,3900,3900,"['Adventure', 'RPG']",1700,4800
BioShock Infinite,"Feb 26, 2013",3.5,1500,1500,"['Adventure', 'Shooter']",1800,949
Stardew Valley,"Feb 26, 2016",4.1,1700,1700,"['Indie', 'RPG', 'Simulator', 'Strategy']",2000,1100
Horizon Zero Dawn,"Feb 28, 2017",3.6,1200,1200,"['Adventure', 'RPG', 'Shooter']",1300,1400
Resident Evil 4,"Jan 11, 2005",4.3,2300,2300,['Shooter'],1400,1200
Yakuza: Like a Dragon,"Jan 16, 2020",4.3,1600,1600,"['Adventure', 'RPG', 'Turn Based Strategy']",600,2800
Resident Evil 2,"Jan 21, 1998",4.2,1100,1100,"['Adventure', 'Shooter']",5500,597
Yakuza Kiwami,"Jan 21, 2016",3.7,1200,1200,"['Adventure', 'Brawler', 'RPG']",9700,100
Resident Evil 7: Biohazard,"Jan 24, 2017",3.9,1800,1800,"['Adventure', 'Shooter']",1300,1300
Celeste,"Jan 25, 2018",4.2,2800,2800,"['Adventure', 'Indie', 'Platform']",2000,200
Resident Evil 2,"Jan 25, 2019",4.3,2500,2500,"['Adventure', 'Shooter']",1500,1900
Kingdom Hearts III,"Jan 25, 2019",3.5,1100,1100,"['Adventure', 'Brawler', 'RPG']",8100,1100
Mass Effect 2,"Jan 26, 2010",4.3,1300,1300,"['Adventure', 'RPG', 'Shooter']",9600,645
Pok̩mon Legends: Arceus,"Jan 28, 2022",3.7,1600,1600,"['Adventure', 'RPG', 'Turn Based Strategy']",9100,2100
Life is Strange,"Jan 29, 2015",3.4,1400,1400,"['Adventure', 'RPG']",1500,817
Final Fantasy VII,"Jan 31, 1997",4.2,2900,2900,"['Adventure', 'RPG', 'Turn Based Strategy']",1500,1500
Super Smash Bros. Brawl,"Jan 31, 2008",3.8,1300,1300,"['Fighting', 'Platform']",1900,250
Final Fantasy IX,"Jul 07, 2000",4.3,1600,1600,"['RPG', 'Turn Based Strategy']",6800,1200
Ghost of Tsushima,"Jul 17, 2020",4.1,1400,1400,"['Adventure', 'Brawler', 'RPG']",8500,3100
Final Fantasy X,"Jul 19, 2001",4.1,1500,1500,"['Adventure', 'RPG']",8500,990
Super Mario Sunshine,"Jul 19, 2002",3.7,1700,1700,"['Adventure', 'Platform']",1400,100
Stray,"Jul 19, 2022",3.7,1500,1500,"['Adventure', 'Indie']",7700,3400
Paper Mario: The Thousand-Year Door,"Jul 22, 2004",4.4,1300,1300,"['Adventure', 'RPG', 'Turn Based Strategy']",6700,1500
Fire Emblem: Three Houses,"Jul 25, 2019",4,1700,1700,"['Adventure', 'RPG', 'Strategy', 'Tactical', 'Turn Based Strategy']",1200,1500
The World Ends with You,"Jul 26, 2007",4.2,100,100,"['Arcade', 'RPG']",5200,1500
The Last of Us Remastered,"Jul 26, 2014",4.3,1100,1100,"['Adventure', 'Shooter']",1200,682
Xenoblade Chronicles 3,"Jul 29, 2022",4.4,1400,1400,"['Adventure', 'RPG']",3900,2200
A Short Hike,"Jul 30, 2019",4.1,1100,1100,"['Adventure', 'Indie', 'Platform']",5400,100
Killer7,"Jun 09, 2005",4.3,1200,1200,"['Adventure', 'Shooter']",2800,1300
Metal Gear Solid 4: Guns of the Patriots,"Jun 12, 2008",3.9,1200,1200,"['Adventure', 'Shooter', 'Tactical']",7700,1300
The Last of Us,"Jun 14, 2013",4.2,200,200,"['Adventure', 'Shooter']",1700,1400
Persona 4 Golden,"Jun 15, 2012",4.2,1900,1900,"['Adventure', 'RPG', 'Simulator', 'Visual Novel']",1300,2200
The Legend of Zelda: Ocarina of Time 3D,"Jun 16, 2011",4.2,100,100,"['Adventure', 'Puzzle', 'RPG']",1100,572
The Last of Us Part II,"Jun 19, 2020",4.1,2500,2500,"['Adventure', 'Shooter']",1300,2500
Sonic the Hedgehog,"Jun 23, 1991",3.1,1100,1100,['Platform'],1200,243
Super Mario 64,"Jun 23, 1996",4.1,2600,2600,"['Adventure', 'Platform']",2100,775
Batman: Arkham Knight,"Jun 23, 2015",3.7,1200,1200,"['Adventure', 'Brawler']",1300,757
Banjo-Kazooie,"Jun 29, 1998",4,1200,1200,"['Adventure', 'Platform']",7400,765
The Legend of Zelda: Breath of the Wild,"Mar 03, 2017",4.4,4300,4300,"['Adventure', 'RPG']",3000,2600
Resident Evil 5,"Mar 05, 2009",3.1,100,100,"['Adventure', 'Shooter']",1000,561
Devil May Cry 5,"Mar 08, 2019",4.3,1900,1900,"['Adventure', 'Brawler']",1200,2400
Ori and the Will of the Wisps,"Mar 10, 2020",4.3,1200,1200,"['Adventure', 'Platform']",600,2200
Chrono Trigger,"Mar 11, 1995",4.5,1900,1900,"['Adventure', 'RPG']",9100,2200
Yakuza 0,"Mar 12, 2015",4.4,2700,2700,"['Adventure', 'Brawler', 'RPG', 'Simulator']",1500,200
Journey,"Mar 13, 2012",3.9,1500,1500,"['Adventure', 'Platform']",1200,1700
Super Metroid,"Mar 19, 1994",4.3,2200,2200,"['Adventure', 'Platform', 'Shooter']",1100,907
Doom Eternal,"Mar 19, 2020",4.2,1900,1900,['Shooter'],1200,2400
Animal Crossing: New Horizons,"Mar 19, 2020",3.6,1600,1600,['Simulator'],2000,1100
Castlevania: Symphony of the Night,"Mar 20, 1997",4.4,1900,1900,"['Adventure', 'Platform', 'RPG']",9100,1700
Resident Evil,"Mar 22, 2002",4.3,100,100,"['Adventure', 'Puzzle']",400,470
Sekiro: Shadows Die Twice,"Mar 22, 2019",4.4,2300,2300,"['Adventure', 'Brawler']",1400,3400
Bloodborne,"Mar 24, 2015",4.5,3400,3400,"['Adventure', 'RPG']",1700,3300
Dark Souls III,"Mar 24, 2016",4.2,2400,2400,"['Adventure', 'RPG']",1900,2200
It Takes Two,"Mar 25, 2021",4.2,1300,1300,"['Adventure', 'Platform', 'Puzzle']",8100,2100
Kirby and the Forgotten Land,"Mar 25, 2022",4.2,1600,1600,"['Adventure', 'Platform']",5900,3100
Kingdom Hearts,"Mar 28, 2002",3.6,1300,1300,"['Adventure', 'RPG']",1200,100
Disco Elysium: The Final Cut,"May 01, 2020",4.6,1100,1100,"['Adventure', 'Indie', 'RPG']",600,2700
Castlevania: Aria of Sorrow,"May 06, 2003",4.2,100,100,"['Adventure', 'Platform', 'RPG']",5100,871
Resident Evil Village,"May 06, 2021",3.9,1800,1800,"['Adventure', 'Shooter']",9900,2800
Uncharted 4: A Thief's End,"May 10, 2016",4.1,1800,1800,"['Adventure', 'Shooter']",1400,1200
Doom,"May 12, 2016",4,1800,1800,['Shooter'],1800,1400
Terraria,"May 16, 2011",4,1300,1300,"['Adventure', 'Indie', 'Platform', 'RPG', 'Strategy']",1800,593
Red Dead Redemption,"May 18, 2010",4.2,1500,1500,"['Adventure', 'RPG', 'Shooter']",1300,1600
The Witcher 3: Wild Hunt,"May 19, 2015",4.3,200,200,"['Adventure', 'RPG']",1700,1600
Silent Hill 3,"May 23, 2003",4.2,1100,1100,"['Adventure', 'Puzzle']",4900,1400
Super Mario Galaxy 2,"May 23, 2010",4.3,1800,1800,"['Adventure', 'Platform']",1300,1300
Dark Souls: Remastered,"May 23, 2018",4.3,1400,1400,"['Adventure', 'RPG']",1100,1600
Detroit: Become Human,"May 25, 2018",3.5,100,100,"['Adventure', 'Puzzle']",1100,1300
Outer Wilds,"May 28, 2019",4.6,1800,1800,"['Adventure', 'Indie', 'Puzzle', 'Simulator']",7700,3100
Xenoblade Chronicles: Definitive Edition,"May 29, 2020",4.3,1400,1400,['RPG'],7400,1900
Super Mario Galaxy,"Nov 01, 2007",4.3,2700,2700,"['Adventure', 'Platform']",2100,1200
Sonic Generations,"Nov 01, 2011",3.8,1100,1100,"['Adventure', 'Platform']",9900,480
Super Mario 3D Land,"Nov 03, 2011",3.5,100,100,['Platform'],1200,461
The Legend of Zelda: The Minish Cap,"Nov 04, 2004",3.9,1100,1100,"['Adventure', 'RPG']",8700,911
Death Stranding,"Nov 08, 2019",3.9,1600,1600,"['Adventure', 'RPG', 'Shooter']",9400,2400
Fallout 4,"Nov 09, 2015",3.1,100,100,"['RPG', 'Shooter']",1600,752
God of War Ragnar̦k,"Nov 09, 2022",4.4,1700,1700,"['Adventure', 'Brawler']",5300,3300
Call of Duty: Modern Warfare 2,"Nov 10, 2009",3.8,100,100,['Shooter'],1400,276
The Elder Scrolls V: Skyrim,"Nov 10, 2011",3.7,1700,1700,"['Adventure', 'RPG']",2200,100
Marvel's Spider-Man: Miles Morales,"Nov 12, 2020",3.9,1600,1600,"['Adventure', 'Brawler']",9900,2800
Shin Megami Tensei V,"Nov 12, 2021",3.8,1100,1100,"['Adventure', 'RPG', 'Turn Based Strategy']",4100,2600
Metal Gear Solid 2: Sons of Liberty,"Nov 13, 2001",4.4,1800,1800,['Adventure'],1000,1400
Star Wars Jedi: Fallen Order,"Nov 15, 2019",3.7,1400,1400,['Adventure'],1300,1300
Half-Life 2,"Nov 16, 2004",4.2,1700,1700,['Shooter'],1500,100
Metroid Prime,"Nov 17, 2002",4.3,1400,1400,"['Adventure', 'Platform', 'Shooter']",6800,1200
Metroid Fusion,"Nov 17, 2002",4,1300,1300,"['Adventure', 'Platform', 'Shooter']",7900,799
Metal Gear Solid 3: Snake Eater,"Nov 17, 2004",4.5,1500,1500,"['Adventure', 'Shooter', 'Tactical']",9200,1300
Left 4 Dead 2,"Nov 17, 2009",3.9,1100,1100,['Shooter'],1900,358
Assassin's Creed II,"Nov 17, 2009",3.8,1300,1300,"['Adventure', 'Platform']",1600,521
Donkey Kong Country,"Nov 18, 1994",3.9,1300,1300,"['Adventure', 'Platform']",1100,514
Minecraft,"Nov 18, 2011",4.3,2300,2300,"['Adventure', 'Simulator']",3300,230
Half-Life,"Nov 19, 1998",4,1300,1300,"['Adventure', 'Puzzle', 'Shooter']",1300,892
Mass Effect,"Nov 20, 2007",3.8,100,100,"['RPG', 'Shooter']",1000,774
Super Mario World,"Nov 21, 1990",4.2,2100,2100,"['Adventure', 'Platform']",1800,460
The Legend of Zelda: A Link to the Past,"Nov 21, 1991",4.1,1700,1700,"['Adventure', 'Puzzle', 'RPG']",1300,911
Sonic the Hedgehog 2,"Nov 21, 1992",3.7,1200,1200,"['Adventure', 'Platform']",1000,228
Donkey Kong Country 2: Diddy's Kong Quest,"Nov 21, 1995",4.2,1200,1200,"['Adventure', 'Platform']",6600,455
The Legend of Zelda: Ocarina of Time,"Nov 21, 1998",4.3,2200,2200,"['Adventure', 'RPG']",1700,1400
Super Mario 3D World,"Nov 21, 2013",3.9,1100,1100,"['Adventure', 'Platform']",9600,432
The Legend of Zelda: A Link Between Worlds,"Nov 22, 2013",4.1,1300,1300,"['Adventure', 'Puzzle', 'RPG']",1000,1100
Danganronpa: Trigger Happy Havoc,"Nov 25, 2010",3.5,100,100,"['Adventure', 'Point-and-Click', 'Visual Novel']",1200,716
13 Sentinels: Aegis Rim,"Nov 28, 2019",4.4,1200,1200,"['Adventure', 'Simulator', 'Strategy', 'Tactical']",3700,2500
Final Fantasy XV,"Nov 29, 2016",3.3,1100,1100,"['Adventure', 'RPG']",1100,1100
Metroid Dread,"Oct 07, 2021",4.3,2100,2100,"['Adventure', 'Platform']",9200,3300
Dishonored,"Oct 09, 2012",3.9,1100,1100,"['Adventure', 'RPG']",1400,866
Portal,"Oct 10, 2007",4.1,200,200,"['Platform', 'Puzzle', 'Shooter']",2800,1100
Uncharted 2: Among Thieves,"Oct 13, 2009",3.9,1400,1400,"['Adventure', 'Platform', 'Shooter']",1200,515
Dead Space,"Oct 14, 2008",4,1200,1200,['Shooter'],9600,1100
Disco Elysium,"Oct 15, 2019",4.6,1100,1100,"['Adventure', 'RPG', 'Turn Based Strategy']",400,1900
Shadow of the Colossus,"Oct 18, 2005",4.4,1500,1500,"['Adventure', 'Platform', 'Puzzle']",1000,1700
Batman: Arkham City,"Oct 18, 2011",4.1,1600,1600,"['Adventure', 'Brawler']",1600,651
Return of the Obra Dinn,"Oct 18, 2018",4.3,100,100,"['Adventure', 'Indie', 'Puzzle']",4700,2400
Fallout: New Vegas,"Oct 19, 2010",4.3,200,200,"['RPG', 'Shooter']",1600,1400
Inscryption,"Oct 19, 2021",4.1,100,100,"['Adventure', 'Card & Board Game', 'Indie', 'Puzzle', 'Strategy']",5400,2300
Super Mario Bros. 3,"Oct 23, 1988",4,1600,1600,['Platform'],1400,362
Hotline Miami,"Oct 23, 2012",4,1400,1400,"['Arcade', 'Indie', 'Shooter']",1400,928
Grand Theft Auto: San Andreas,"Oct 26, 2004",4.1,1500,1500,"['Adventure', 'Racing', 'Shooter']",1900,742
Red Dead Redemption 2,"Oct 26, 2018",4.4,2900,2900,"['Adventure', 'RPG', 'Shooter']",1900,2900
Marvel's Guardians of the Galaxy,"Oct 26, 2021",3.8,1100,1100,"['Adventure', 'RPG', 'Shooter']",5100,1300
Grand Theft Auto: Vice City,"Oct 27, 2002",3.8,100,100,"['Adventure', 'Arcade', 'Racing', 'Shooter']",1200,526
Super Mario Odyssey,"Oct 27, 2017",4.2,2900,2900,"['Adventure', 'Platform']",2500,200
Titanfall 2,"Oct 28, 2016",4.1,1300,1300,"['Adventure', 'Shooter']",1200,656
Bayonetta,"Oct 29, 2009",3.9,1700,1700,"['Brawler', 'Shooter']",1300,2300
Assassin's Creed IV Black Flag,"Oct 29, 2013",3.7,1200,1200,"['Adventure', 'Platform']",1300,716
Persona 5 Royal,"Oct 31, 2019",4.4,2700,2700,"['Adventure', 'RPG', 'Turn Based Strategy']",1200,300
Metal Gear Solid V: The Phantom Pain,"Sep 01, 2015",3.8,1500,1500,"['Adventure', 'Shooter', 'Tactical']",1400,1200
Metal Gear Solid,"Sep 03, 1998",4.2,1900,1900,"['Adventure', 'Tactical']",1200,1600
Marvel's Spider-Man,"Sep 07, 2018",4.1,2500,2500,"['Adventure', 'Brawler']",2100,2200
Super Mario Bros.,"Sep 13, 1985",3.5,1500,1500,"['Adventure', 'Platform']",1800,237
Pok̩mon Platinum,"Sep 13, 2008",4.1,1400,1400,"['Adventure', 'RPG', 'Turn Based Strategy']",1400,461
Halo: Reach,"Sep 14, 2010",4,1200,1200,['Shooter'],1100,370
Phoenix Wright: Ace Attorney,"Sep 15, 2005",4.1,1300,1300,"['Adventure', 'Point-and-Click', 'Puzzle', 'Visual Novel']",1200,100
Undertale,"Sep 15, 2015",4.2,3500,3500,"['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']",2800,1800
Persona 5,"Sep 15, 2016",4.1,1800,1800,"['Adventure', 'RPG', 'Turn Based Strategy']",1600,1700
Pok̩mon Emerald,"Sep 16, 2004",4,1200,1200,"['Adventure', 'RPG', 'Turn Based Strategy']",1600,376
Grand Theft Auto V,"Sep 17, 2013",3.8,2100,2100,"['Adventure', 'Shooter']",3000,664
Pok̩mon Black,"Sep 18, 2010",4,100,100,"['Adventure', 'RPG', 'Turn Based Strategy']",1200,461
Borderlands 2,"Sep 18, 2012",3.5,1100,1100,"['RPG', 'Shooter']",1600,494
Bayonetta 2,"Sep 20, 2014",4.1,1100,1100,['Brawler'],600,200
The Legend of Zelda: Link's Awakening,"Sep 20, 2019",3.9,1100,1100,['Adventure'],7600,200
Dark Souls,"Sep 22, 2011",4.3,2100,2100,"['Adventure', 'RPG']",1400,1400
Silent Hill 2,"Sep 24, 2001",4.5,2200,2200,"['Adventure', 'Puzzle']",8600,2100
Halo 3,"Sep 25, 2007",4.2,1600,1600,['Shooter'],1200,528
Cuphead,"Sep 29, 2017",4.1,1900,1900,"['Arcade', 'Indie', 'Platform', 'Shooter']",1800,2600
